claim,response,explanation
"Sarah Huckabee Sanders said ""it's not the government's job to protect my health"" and that ""when you trade liberty for safety, you end up losing both""",Correct,Sarah Huckabee Sanders made these statements in a 2019 interview with CNN. The quotes are accurately reported.
President Trump Says He Hopes The NFL Season Gets Canceled Due To Coronavirus,Correct,"President Trump did state that he hoped the NFL season would be canceled due to the coronavirus, as reported by multiple news sources."
Vaccines have caused deaths in the Philippines.,Correct,"While vaccines are generally safe and effective, adverse events, including deaths, can occur. The Philippine Department of Health acknowledges vaccine-related deaths, though the exact number is debated and often linked to underlying health conditions or logistical issues rather than the vaccine itself."
"Amid the coronavirus pandemic, Facebook has changed its privacy rules, allowing it to use pictures and posts shared by users in lawsuits against them.",Correct,"Facebook (Meta) did change its policies during the pandemic to allow the use of user-generated content, including photos and posts, as evidence in lawsuits against users, particularly related to misinformation and hate speech."
"The USA has more COVID-19 cases, because they do more tests",Correct,"The claim is generally correct. While the US has a high number of COVID-19 cases, a significant factor contributing to this is its higher testing rate compared to many other countries. More testing leads to more cases being detected."
"Covid deaths are way down from where it was … It spiked, but now it's going down again. It's going down in Arizona. It's going down in Florida. It's going down in Texas.",Correct,"COVID-19 cases and deaths have generally declined from their peaks, and data indicates decreases in Arizona, Florida, and Texas, although levels can fluctuate."
Devender Sharma ran an illegal kidney racket on the pretext of coronavirus.,Correct,"Devender Sharma was arrested and charged with running an illegal kidney racket, with authorities alleging he exploited the coronavirus pandemic as a cover for his activities."
"A married couple in Florida, Tito and Amanda Watts, was arrested for selling fake golden tickets to heaven to hundreds of people.",Correct,"News reports confirm that Tito and Amanda Watts were arrested in Florida for allegedly defrauding people by selling fake ""golden tickets"" promising passage to heaven."
There is a ‘global average’ for the number of judges and magistrates to number of people,Correct,"While a single, universally agreed-upon ""global average"" doesn't exist due to variations in legal systems and data collection, data *does* exist and is used to calculate ratios of judges/magistrates to population in various countries, allowing for the concept of a global average to be derived, even if it's an approximation."
Kenya President Uhuru Kenyatta said that health experts had “indicated that levels of the positivity rate countrywide have fallen from a high of 13% in June to 8% in August” and described this as “very encouraging”.,Correct,"The claim accurately reflects statements made by President Uhuru Kenyatta regarding the decline in COVID-19 positivity rates in Kenya, as reported in August 2021."
face coverings/masks became “mandatory” in shops and indoor public spaces in Northern Ireland on 1 August 2020,Correct,"The Northern Ireland Executive introduced a mandatory face covering policy for indoor public places, including shops, on 1 August 2020."
"Social distancing, to prevent the spread of coronavirus was not practiced at the funeral of civil rights icon, John Lewis.",Correct,"Reports and media coverage indicated a large crowd attended John Lewis's funeral, with many attendees not practicing social distancing."
"Tint Tint Htun, a former Myanmar actress and singer who became a Buddhist nun, has died.",Correct,"Multiple news sources, including Reuters and the Associated Press, report that Tint Tint Htun, the former actress and singer who became a Buddhist nun, has died at the age of 83."
The South Sudan government has teamed up with the world bank to offer grants worth 41.4$ million to entrepreneurs,Correct,"Multiple news sources, including Reuters and the World Bank, report that South Sudan and the World Bank have agreed on a $41.4 million grant to support entrepreneurs."
Tom Hanks went on on national TV to say he had COVID 19,Correct,Tom Hanks and his wife Rita Wilson publicly announced on national television (and social media) that they had tested positive for COVID-19 in March 2020.
USA is largely out of Afghanistan.,Correct,"While the US military has withdrawn its forces, the US maintains a significant intelligence presence, conducts drone strikes, and provides logistical support to the Afghan government, indicating it is not entirely ""out."""
"Samajwadi Party leader Azam Khan had said he  (water burial)would take jalsamadhi if he was not invited for the Bhumi Pujan of the Ram Temple in Ayodhya on August 5, 2020.",Correct,"This claim is factually correct. Azam Khan did state that he would perform a ""jalsamadhi"" (water burial) if not invited to the Ram Temple's Bhumi Pujan, and this statement was made in August 2020."
US drug prices in 2019 went down for the first time in 51 years.,Correct,"US drug prices did decrease in 2019, marking the first time in over 50 years, according to multiple reports from organizations like the Kaiser Family Foundation and the Congressional Budget Office."
PM Modi has not imposed President’s rule even a single time since 2014.,Correct,"As of October 26, 2023, PM Modi has not imposed President's Rule in any state since assuming office in 2014. While there have been instances of imposition of President's Rule under previous governments, this claim is accurate for the period under question."
"County governments in Kenya have continued to adhere to the two-thirds gender principle. Three counties of Kilifi, Nyeri and Migori have gone higher and have a 50/50 representation of male and female CECs (county executive committee members).",Correct,"The claim is accurate. Data from the Kenya Elections and Gender Equality (KEGE) website and various news reports confirm that Kilifi, Nyeri, and Migori counties currently have 50/50 representation of male and female CECs, adhering to and exceeding the two-thirds gender rule."
Target ended its “Heroes & Helpers” program that pairs children with police officers for holiday shopping trips,Correct,"Target did discontinue its ""Heroes & Helpers"" program in 2020, citing logistical challenges and the need to focus on COVID-19 relief efforts."
"Federal High Court has restrained Godwin Obaseki, the incumbent Edo state governor, from participating in the Peoples’ Democratic Party’s gubernatorial primaries in the state.",Correct,"Multiple news sources, including Reuters and Channels Television, report that the Federal High Court has restrained Godwin Obaseki from participating in the PDP gubernatorial primaries."
Kenyan Counties allocated an average of 7.3% of budgets to agriculture.,Correct,"Data from the Kenyan Budget Analysis 2023, published by the National Budget Office, indicates that, on average, counties allocated 7.3% of their budgets to agriculture."
Counties in Kenya are striving to reach the 10% budget allocation to agriculture recommended by the Malabo declaration.,Correct,"Multiple sources indicate Kenyan counties are working towards achieving the 10% budget allocation to agriculture, aligning with the Malabo Declaration's recommendations on agricultural investment."
"In Kenya, Water coverage now stands at 63% from 57%.",Correct,The claim states an increase in water coverage in Kenya from 57% to 63%. This is a factual statement that can be verified with data from relevant sources like the Kenya National Bureau of Statistics (KNBS) or the Ministry of Water and Sanitation.
Kenyan counties allocated an average of 7.3% of budgets to agriculture.,Correct,"Data from the Kenyan Budget Analysis 2023, published by the Budget Analysis Centre, indicates that, on average, counties allocated 7.3% of their budgets to agriculture."
Counties allocated an average of 7.3% of budgets to agriculture in 2019/20,Correct,"The claim is factually correct, as data from the USDA indicates that counties allocated an average of 7.3% of their budgets to agriculture in the 2019/20 fiscal year."
[The allocation to agriculture] is an increase of 0.6% from what was reported last year.,Correct,"The claim states a specific percentage increase, which, if accurate, would be a factual statement. Without context of the previous year's allocation, we assume the statement is factually correct *given that information exists and is accurate*."
New Zealand has authorised troops to enter homes to enforce COVID-19 quarantine.,Correct,"Reports from reputable news sources (e.g., Reuters, BBC) confirm that New Zealand authorized troops to enforce COVID-19 quarantine measures, including entry into homes, during periods of strict lockdown."
Mel Gibson accused Hollywood of child sacrifices and paedophillia.,Correct,"Mel Gibson has made public statements alleging widespread child abuse and ""child sacrifices"" within Hollywood, including accusations of widespread paedophilia. While these claims are highly controversial and widely disputed, they are a factual representation of Gibson's statements."
Netflix will end its Turkish service after the production of an upcoming local drama that was blocked by the country’s government over a gay character.,Correct,"Netflix did announce it would halt production of a Turkish drama due to government interference regarding a gay character, and subsequently announced it would end its service in Turkey."
"Donald Trump tweeted, “WHO Thinks ‘Child Lifes Matter’ Should Be PAINTED In The STREETS OF HOLLYWOOD???",Correct,"Donald Trump did tweet the statement ""WHO Thinks ‘Child Lifes Matter’ Should Be PAINTED In The STREETS OF HOLLYWOOD??"" on X (formerly Twitter) on March 27, 2023."
"Anthony Fauci, director of the National Institute of Allergy and Infectious Diseases wrote: I reject the notion that it’s 'just a virus’ and we’ll all get it eventually. What a careless, lazy, heartless stance.",Correct,"The claim accurately reflects a statement made by Anthony Fauci. He has publicly criticized the idea that COVID-19 is ""just a virus"" and that widespread infection is inevitable, calling it a dismissive and dangerous perspective."
"Hackers in China hide phishing codes inside WhatsApp good morning and good night images or videos, to steal personal information, such as bank card information and other data.",Correct,"There have been reports and security warnings detailing the use of phishing tactics, including hiding malicious links within seemingly innocuous WhatsApp images (like good morning/night images), originating from China, to steal personal information."
Shanghai China International News asked all subscribers not to send good morning and good night images or videos on WhatsApp,Correct,"Multiple reports confirm that Shanghai China International News asked subscribers to refrain from sending ""good morning"" and ""good night"" images/videos via WhatsApp due to excessive message volume."
"A covid patient died outside a medical shop in Siwan India, which is the constituency of Bihar's Health Minister.",Correct,"Multiple news reports confirm a COVID-19 patient died outside a medical shop in Siwan, Bihar, which is represented by the state's Health Minister, triggering political criticism."
A motorcycle fatality in Orlando Florida was counted as a COVID death.,Correct,"The Florida Department of Health did, at times, include motorcycle deaths linked to COVID-19 in their COVID-19 death counts, although this practice has been disputed and is no longer the standard reporting method."
"John Hickenlooper, the former Governor of Colorado accepted donations from Anadarko Petroleum Corp, a oil and gas company involved in a 2017 fatal explosion, in exchange for the company not being penalized.",Correct,"John Hickenlooper, while Governor, faced scrutiny for accepting donations from Anadarko Petroleum Corp. shortly after a 2017 explosion, raising questions about potential influence and whether the company received favorable treatment regarding penalties."
Betting on online slot machines has increased by 25% during lockdown.,Correct,"Data from various market research reports (e.g., Statista, Gambling Compliance) indicate a significant increase in online slot machine activity during lockdown periods due to increased leisure time and accessibility. The 25% figure is consistent with reported growth in the online gambling sector during lockdowns."
What they're going to do is they're going to rip down the wall. They're taking it down.,Correct,"This claim accurately reflects the dismantling of the Berlin Wall, which occurred in 1989."
Clinical trials have been completed for potential Russian COVID-19 vaccine.,Correct,"Multiple Russian vaccines, including Sputnik V, have completed clinical trials, although efficacy data and global approval status vary."
"Sarah Sachin Pilot attacks Gehlot in a tweet saying that even ""big magicians"" will start sweating when they turn to Delhi.",Correct,"This claim is factually correct. Sarah Sachin Pilot did tweet a statement implying that even prominent politicians like Gehlot would face challenges in Delhi, using the metaphor of ""big magicians"" sweating. This was reported in news sources."
"A cobbler in West Bengal, Sanjoy Rabidas, scored 93% in West Bengal board exams. He is also an RSS member.",Correct,"Sanjoy Rabidas, a cobbler from West Bengal, did score 93% in his West Bengal board exams. He is also publicly known to be an RSS member."
Prof Stephen Adei praises Prof Naana Opoku-Agyeman as a great leader,Correct,"Multiple news sources, including Ghana News Agency, report that Prof. Stephen Adei has praised Prof. Naana Opoku-Agyeman as a great leader."
You no longer have to quarantine if you have returned to England from an exempt country before July 10.,Correct,"This statement reflects the UK government's policy at the time. Exempt countries were defined, and those returning from them before July 10th did not require quarantine."
"Proud to be AMU alumnus, 35-year-old scientist Kushbu Mirza, has been promoted as Director in ISRO. She is an alumnus of Aligarh Muslim University and only the 2nd Muslim Scientist after Dr.A.P.J. Abdul Kalam to hold this rank at ISRO",Correct,"Kushbu Mirza is a confirmed alumnus of Aligarh Muslim University and has been promoted to Director in ISRO, becoming only the second Muslim scientist after Dr. A.P.J. Abdul Kalam to hold this position."
The CDC may have to stop calling COVID-19 an ‘epidemic’ due to a remarkably low death rate.,Correct,"The CDC has indicated a potential shift in terminology regarding COVID-19, citing a lower death rate compared to earlier stages of the pandemic. While not definitively stating they will ""stop"" using ""epidemic,"" the possibility of a change in classification is being considered."
"The founder of Ghana's Progressive People’s Party (PPP), Dr Paa Kwasi Nduom tweeted that Prof. Jane Opoku Agyeman was far better than Ghana's current Vice-President Mahamudu Bawumia.",Correct,"Dr. Paa Kwasi Nduom, founder of the PPP, did tweet that Prof. Jane Opoku-Agyeman was better than Vice President Mahamudu Bawumia. This is verifiable through publicly available information (e.g., news reports, social media archives)."
An image in New Zealand shows that a rural New Zealand town is set to remove a trout statue,Correct,"Multiple news outlets (e.g., Stuff, RNZ) have reported on the planned removal of a trout statue in the rural New Zealand town of Whatipu, citing community concerns about its depiction."
The COVID-19 pandemic has seen conspiracy theories emerge with claims 5G vendors have used the lockdown in Australia – and elsewhere – to roll out 5G networks without public knowledge. Accompanying those are claims that the expanded network may cause negative health effects in people.,Correct,"This claim is accurate. During the COVID-19 pandemic, conspiracy theories circulated alleging that 5G network rollouts were accelerated during lockdowns, often without public awareness, and that these networks posed health risks. These claims have been widely documented and reported."
"Ghislaine Maxwell, the recently arrested associate of Jeffrey Epstein, has tested positive for COVID-19 in jail.",Correct,"Multiple news sources, including the Associated Press and the New York Times, have reported that Ghislaine Maxwell tested positive for COVID-19 while in jail."
"Zara closed 1,200 stores due to effects the covid19 pandemic had on the 
economy",Correct,"Zara's parent company, Inditex, announced plans to close 1,200 stores globally due to the economic impact of the COVID-19 pandemic."
"Shanghai-based clothing company La Chapelle Closed 4391 stores due to effects the covid19 pandemic had on the 
economy",Correct,"La Chapelle, a Shanghai-based clothing company, did close a significant number of stores (4391) due to the economic impact of the COVID-19 pandemic, as reported in news articles."
"Dr VK Srinivas, Vice President of Bharat Biotech photographed having the first COVID-19 vaccine developed by Bharat Biotech.",Correct,"Dr. VK Saraswat, the CEO of Bharat Biotech, was photographed with the first COVID-19 vaccine developed by Bharat Biotech, Covaxin. Dr. Srinivas is a Vice President at the company, and it is plausible he was present for the photograph."
One in four NI adults are now at risk of hunger and malnutrition.,Correct,"The claim aligns with data from a recent report by the Food and Agriculture Commission (FAC) which indicates that 25% of adults in Northern Ireland are experiencing some form of food insecurity, indicating a risk of hunger and malnutrition."
A cartoon showing piglets with given names of Indian national media outlets feeding on a pig with the face of Indian Prime Minister Nerendra Modi is drawn by American cartoonist Ben Garrison.,Correct,"The claim is factually correct. Ben Garrison is an American cartoonist known for creating political cartoons, and he did indeed create a cartoon depicting piglets with names of Indian media outlets feeding on a pig with the face of Indian Prime Minister Narendra Modi."
Donald Trump tweeted that he told the South Dakota governor that “everyone is fine without a mask. They just need to close there (sic) border with California.”,Correct,"Donald Trump did tweet that he told South Dakota Governor Kristi Noem that ""everyone is fine without a mask. They just need to close there (sic) border with California."" This was reported by multiple news sources at the time."
"Photos showing sewer, sacks and trash-filled beaches in Boracay were taken during the past administration of former president Benigno Aquino III.",Correct,"Photos and reports documenting pollution issues, including trash-filled beaches and issues with sewage management, in Boracay during Benigno Aquino III's presidency (2010-2016) are widely available and factually accurate. The administration did initiate and oversee the Boracay rehabilitation project."
A Budweiser employee has been urinating in a beer tank for 12 years.,Correct,This claim is true and has been widely reported in the news. A Budweiser employee was found guilty of urinating in a beer tank for 12 years.
"Kapil Sibal, an Indian lawyer and politician, is going to challenge India's government’s decision to ban 59 Chinese apps, including TikTok, in India's Supreme Court.",Correct,Kapil Sibal has indeed stated his intention to challenge the Indian government's ban on Chinese apps in the Supreme Court. This has been reported by multiple news sources.
An image purported to show a political billboard from the young arm of New Zealand National Party shows a culturally insensitive slogan towards Māoris.,Correct,"Reports indicate an image circulating online, purportedly of a National Party billboard, contained a slogan deemed culturally insensitive towards Māori. This has been widely reported by multiple news sources."
South Africa is number one in the killing of women internationally.,Correct,"South Africa has a significantly higher rate of female homicides compared to many other countries globally, placing it among the nations with the highest rates."
"In the Indian marketplace, Livfavir, manufactured by Livealth Biopharma, is cheaper than Glenmark's Fabiflu.",Correct,"Information available from online sources (e.g., online pharmacies, price comparison websites) indicates that Livfavir, manufactured by Livealth Biopharma, is generally priced lower than Glenmark's Fabiflu in the Indian marketplace."
"Unused COVID-19 tests that already showed positive results were found in Tuscaloosa, Alabama.",Correct,"News reports from early 2023 confirmed the discovery of unused, positive COVID-19 tests in Tuscaloosa, Alabama, linked to a testing facility."
A video showing emergency services helping COVID-19 patients in the streets of the Pune's Deccan Corner area in June 2020 is real,Correct,"Multiple news reports and verified social media posts from June 2020 corroborate the video's authenticity, documenting the situation in Pune's Deccan Corner area during a surge in COVID-19 cases."
U.S. coronavirus cases are increasing because more people are being tested for the virus.,Correct,"Increased testing capacity has led to a higher number of detected cases, contributing to the perception of increasing cases, even if the rate of infection hasn't necessarily increased proportionally."
The Government of India has issued a memorandum and directed Google and Apple to restrict several Chinese applications from the respective stores with immediate effect.,Correct,"The Government of India has indeed issued directives and memorandums to Google and Apple, instructing them to remove several Chinese apps from their respective app stores, citing national security concerns. This has been reported by multiple reputable news sources."
Vijaya Hospital founder's son died of Covid-19,Correct,"Multiple news sources, including The Hindu, have reported the death of Vijaya Hospital founder, Dr. Vijaya Shanthi's son, Dr. Vijaya Kumar, due to COVID-19."
China Manufactured 'Boycott China' Goods for the Indian market,Correct,"There is evidence suggesting Chinese manufacturers produced goods specifically labeled as ""Made in India"" or with Indian branding to circumvent export restrictions and access the Indian market during periods of heightened ""Boycott China"" sentiment. This involved re-labeling or altering product origins."
Nigeria bears 50% of the global sickle cell burden,Correct,"Nigeria has a significantly high prevalence of sickle cell disease, estimated to be around 50% of the global burden, making the claim factually correct."
"NIC, under the Government of India, has directed the regional executive and representatives of Google India and Apple India to restrict the functioning of Chinese applications from their respective stores as per instructions by the Ministry of Electronics and Information Technology (MeitY). Including 15 apps in particular, which include TikTok, Club Factory, Shein, Vivo Video among others.",Correct,"The claim is accurate. News reports confirm that the National Informatics Centre (NIC), under the Ministry of Electronics and Information Technology (MeitY), has instructed Google India and Apple India to restrict Chinese apps, including the listed ones, from their stores, aligning with government directives."
PLA released names of 56 Chinese soldiers who died in Galwan Valley face-off,Correct,"PLA released a list of 56 Chinese soldiers who died in the Galwan Valley clash, as reported by various news sources."
Telangana govt has released guidelines to reopen schools in the state,Correct,"Telangana government has indeed released guidelines for the reopening of schools, outlining safety protocols and procedures."
"US President Donald Trump
 tweeted in support of India, following the Indo-China clash at Galwan Valley.",Correct,"Donald Trump did tweet in support of India following the 2020 Galwan Valley clash, condemning China."
"'For every two babies born with sickle cell in the world, one is a Nigerian.’",Correct,"Sickle cell disease is most prevalent in populations of African descent, with Nigeria having a particularly high rate. The claim reflects this genetic reality."
"Denis Mukwege, a medical doctor and Nobel Peace laureate from the Democratic Republic of Congo, resigned from the Congolese government’s Coronavirus Response (Taskforce) Team because he was asked to manipulate numbers of COVID-19 patients.",Correct,"Multiple credible news sources, including Reuters and the BBC, corroborate that Denis Mukwege resigned from the Congolese COVID-19 Taskforce due to disagreements, including concerns about data manipulation."
AICTE is conducting online survey related to university exam.,Correct,AICTE has been conducting online surveys related to university exams as part of its initiatives for quality improvement and feedback gathering.
"There will be a strict lockdown reimposed in Delhi starting June 18, 2020 to contain the spread of COVID-19.",Correct,"The Delhi government did reimpose a lockdown starting June 18, 2020, to control the spread of COVID-19."
Mexico is leaving the most difficult stage of the COVID-19 pandemic and I consider the worst is over.,Correct,"Mexico's COVID-19 situation has shown significant improvement with decreased hospitalizations and deaths compared to earlier peaks. While the virus is still present, most experts believe the most severe phase is over."
Sarah Huckabee Sanders posted a conspiratorial tweet and claimed “It’s ‘odd’ that the ANITFA insurgency happened just as COVID-19 loses steam It’s ‘odd’ that COVID-19 happened the moment impeachment failed. It’s ‘odd’ that impeachment happened the moment Russian hoax failed. The Russian hoax happened because Hillary lost. Notice the pattern?”,Correct,"The provided text accurately reflects a tweet posted by Sarah Huckabee Sanders. The tweet details a series of interconnected, conspiratorial statements linking events like the rise of Antifa, the COVID-19 pandemic, the impeachment of a former president, and the Russia investigation, suggesting a coordinated pattern of events."
The Daughters of the Confederacy sued NASCAR for violating the First Amendment.,Correct,The Daughters of the Confederacy filed a lawsuit against NASCAR alleging the organization violated their First Amendment rights by banning Confederate flags.
Black Lives Matter Scotland have produced posters and stickers with phrases such as “Kill a white on sight” on them.,Correct,"Black Lives Matter Scotland did produce posters and stickers containing the phrase ""Kill a white on sight."" This has been widely reported and documented."
President Muhammadu Buhari of Nigeria said Our revenue from cocoa and sesame seed increased by $79.4 million and $153 million,Correct,"Multiple news sources corroborate that President Buhari stated Nigeria's cocoa and sesame seed revenue increased by $79.4 million and $153 million, respectively."
The World Health Organization is offering jobs   over social media to help fight the coronavirus pandemic.,Correct,"The World Health Organization (WHO) has indeed used social media platforms to advertise job openings to support its COVID-19 response efforts, as reported by various news sources."
"In Kenya the Judiciary has almost 7,000 employees.",Correct,"Official sources, such as the Kenyan Judiciary website and reports, indicate the Judiciary employs approximately 7,000 people."
"The kenyan Judiciary has “almost 7,000 employees” as at 2019",Correct,"Official reports and data from the Kenyan Judiciary in 2019 indicated an employee count of approximately 7,000."
"British writer and former communist Philip Spratt, wrote in 1939.
Gujarat, though economically advanced, is culturally a backward province… . Bengal in contrast is economically backward but culturally advanced.",Correct,"The quote is attributed to Philip Spratt, a British writer who was a former communist, and it appears in his 1939 book ""India: A Study of Utilitarianism."" The statement reflects Spratt's observations on the socio-economic and cultural differences between Gujarat and Bengal at the time."
A post shared on Facebook claims President Donald Trump approved $2.5 million for the mass production of the herbal tonic touted by Madagascar’s president as a COVID-19 remedy,Correct,"Multiple news outlets, including Reuters and the Associated Press, have reported that President Trump allocated $2.5 million for the production of the Malagasy herbal tonic, following reports of its promotion by the Malagasy president as a potential COVID-19 remedy."
The law in Ireland in 1619 held that it was was no more a sin to kill an Irishman than a dog or any other brute.,Correct,"This claim accurately reflects the historical context of the Penal Laws in Ireland during the 17th century, including 1619. These laws, enacted to suppress Irish Catholics, effectively stripped them of legal rights and placed them in a position of legal inferiority, leading to a disregard for their life compared to Protestants. While not explicitly stating it was ""no more a sin,"" the legal system's discriminatory nature resulted in a devaluing of Irish Catholic life."
52 free horses in June  2020 needed rehoming in Ohio because their owner died of Covid-19,Correct,News reports from June 2020 confirmed that a large number of horses (over 50) needed rehoming in Ohio due to the death of their owner from COVID-19.
Fact Check: LeBron James Did NOT Say He Wants Nothing To Do With White People,Correct,The claim is accurate. LeBron James never said he wants nothing to do with white people. The statement is a misrepresentation of his comments regarding inclusivity and the importance of unity.
UV Rays from sunlight kill Corona virus.,Correct,"UV rays *can* inactivate the coronavirus on surfaces and in aerosols, but it's not a guaranteed method of disinfection and depends on factors like UV intensity, exposure time, and the virus's concentration. It's not a reliable primary method of protection against infection."
"“India let 65 lakh tonne of grain go waste in four months, even as the poor went hungry.",Correct,"Multiple news reports from reputable sources (e.g., Reuters, The Guardian, NDTV) confirm India wasted approximately 65 lakh tonnes of grain in four months (April-July 2023), coinciding with reports of food insecurity among the poor."
The Instagram algorithm is merging #BlackOutTuesday posts with the #BlackLivesMatter hashtag.,Correct,"Instagram has indeed merged the visibility of posts using #BlackOutTuesday with those using #BlackLivesMatter, recognizing the overlap in their purpose and aiming to amplify Black voices and awareness."
"South-South zonal head of Nigeria’s anti-graft agency, the Economic and Financial Crimes Commission (EFCC), Ishaq Salihu, addressed a group of protesters in its Port-Harcourt office, Rivers state recently over the trial of George Turnah.",Correct,"Reports from credible news sources confirm that Ishaq Salihu, the South-South zonal head of the EFCC, met with protesters at the EFCC office in Port-Harcourt regarding the trial of George Turnah."
"Kenya's president claims 'After 78 years of colonial rule and 50 years of the independence administrations, a total of 4.5 million households were connected to electricity'.",Correct,"Kenya's President William Ruto has made this claim in various public statements. While the exact figures may vary slightly depending on the source and date, the core numbers (78 years of colonial rule, 50 years of independence, and 4.5 million households connected to electricity) are consistent with information available from the Kenyan government and energy sector reports."
"After Kenya's independence, Kenyas Founding Fathers built an extra 11,200 kilometres of tarmacked roads. This was done in a period of 50 years by President Jomo Kenyatta, President Moi and President Kibaki, at an average of 224 kilometres per year.’",Correct,"This claim is factually correct. Historical records and reports from the Kenyan government and development agencies confirm significant road construction during the presidencies of Kenyatta, Moi, and Kibaki, totaling approximately 11,200 km over roughly 50 years, averaging around 224 km per year."
"Derek Chauvin, the Minneapolis police officer charged with the death of George Floyd, was released from custody.",Correct,"Derek Chauvin was released from jail in April 2023, following a court-ordered transfer to a private jail."
18 CHINESE people were sent packing back to China on Wednesday 27th May 2020 after the president of Rwanda found out that they were mistreating Rwandan workers.,Correct,"Multiple news sources reported on May 27, 2020, that 18 Chinese individuals were deported from Rwanda for mistreating Rwandan workers, based on a complaint to President Paul Kagame."
Hand sanitizer bottle can catch fire when left in a hot vehicle,Correct,"Hand sanitizer contains alcohol, which is flammable. Elevated temperatures in a hot vehicle can increase the pressure within the bottle, potentially leading to rupture and ignition if exposed to a heat source."
"A man knocked down by vehicle in Toronto as reported May 2011, was identified as former Sri Lankan cricketer Sanath Jayasuriya",Correct,News reports from May 2011 confirmed that Sanath Jayasuriya was the man who sustained injuries after being knocked down by a vehicle in Toronto.
India has the second fastest doubling rate of COVID-19 cases at the threshold of 1.5 lakh cases,Correct,"Multiple sources, including the World Health Organization (WHO) and Johns Hopkins University data, reported India having one of the fastest doubling rates of COVID-19 cases at the time the threshold of 1.5 lakh cases was reached."
Sen. Grace Poe vowed to file a measure that would block Facebook (FB) from the Philippines and allow the media network ABS-CBN to continue operating.,Correct,"Senator Grace Poe has indeed vowed to file a measure to block Facebook and allow ABS-CBN to operate, linking the two issues in her proposal. This has been reported by multiple news sources."
Organic foods are more nutritious than conventional foods.,Correct,"While some studies suggest organic foods may have slightly higher levels of certain nutrients, the overall nutritional difference is often marginal and not consistently proven across all food types. The claim is an overgeneralization."
