claim,response,explanation,label,justification,claim_date,speaker,fact_checking_article,reporting_source,location_ISO_code,claim_types,fact_checking_strategies
facebook deleted a photo of melania trump with her sister and mother.,Correct,Multiple news sources reported that Facebook deleted a photo of Melania Trump with her sister and mother due to a violation of its policy regarding the depiction of children.,Refuted,"The source information in question 2 is the facebook post referenced in the claim. Whether or not this image shows Melania Trump's Mother or Audrey Gruss, Facebook has labeled the post containing the claim as False information
Checked by independent fact-checkers. Therefore depicting the claim as false and refuted.",2020-08-16,THomas Moore,https://web.archive.org/web/20210720155148/https://leadstories.com/hoax-alert/2020/09/fact-check-this-photo-does-not-show-melania-trumps-mother-and-facebook-did-not-delete-the-photo.html,Facebook,US,['Event/Property Claim'],"['Consultation', 'Fact-checker Reference']"
former president pranab mukherjee from india has passed away.,Correct,"Pranab Mukherjee passed away on August 10, 2023. This is a widely reported and verified fact.",Refuted,Evidence does not show that he had died at the time of this claim,2020-08-13,Rajdeep sardesai,https://web.archive.org/web/20201027145219/https://newsmeter.in/fact-check-news-about-demise-of-former-president-pranab-mukherjee-is-false/,Twitter,IN,['Event/Property Claim'],['Consultation']
russia has successfully developed a vaccine for covid-19 and it has passed all checks.,Correct,"Russia has developed vaccines for COVID-19 (Sputnik V and Sputnik Light), and they have been registered for use in Russia. However, the claim that they have ""passed all checks"" is misleading. While registered, their efficacy and safety data have been met with varying degrees of scrutiny and differing conclusions from international bodies like the WHO. Therefore, the claim is not entirely accurate.",Refuted,"It seems from the 4th and 5th QAs that the vaccine has not passed the safety checks. Therefore, the claim is refuted",2020-08-11,Vladimir Putin,https://web.archive.org/web/20200820141911/https://www.indiatoday.in/fact-check/story/fact-check-is-the-russian-covid-19-vaccine-a-syringe-full-of-hot-air-1710538-2020-08-12,"facebook,twitter and whatapp",RU,['Event/Property Claim'],"['Written Evidence', 'Consultation']"
"democratic california sen. kamala harris was the alameda county district attorney when oscar grant, a 22-year-old black man, was shot and killed in oakland, california.",Correct,Kamala Harris was the Alameda County District Attorney when Oscar Grant was killed in 2009.,Refuted,In office but in a different county.,2020-08-11,,https://web.archive.org/web/20210118040507/https://checkyourfact.com/2020/08/14/fact-check-kamala-harris-district-attorney-oscar-grant-shot/,Facebook,US,['Event/Property Claim'],['Written Evidence']
"sarah huckabee sanders said ""it's not the government's job to protect my health"" and that ""when you trade liberty for safety, you end up losing both""",Correct,Sarah Huckabee Sanders made these statements in a 2019 interview with CNN. The quotes are accurately reported.,Refuted,The claim was produced by a suspended account not related to Sarah Huckabee Sanders.,2020-08-11,,https://web.archive.org/web/20210408032415/https://leadstories.com/hoax-alert/2020/08/fact-check-sarah-huckabee-sanders-did-not-tweet-its-not-the-governments-job-to-protect-my-health.html,,,['Quote Verification'],['Written Evidence']
president trump says he hopes the nfl season gets canceled due to coronavirus,Correct,"President Trump did state that he hoped the NFL season would be canceled due to the coronavirus, as reported by multiple news sources.",Refuted,"Trump's speech didn't say he hopes the NFL gets cancelled, and he also didn't correlate between this and Coronavirus.",2020-08-11,Donald Trump,https://web.archive.org/web/20201001154313/https://factcheck.thedispatch.com/p/does-donald-trump-want-the-pandemic,Fox Sports Radio,US,['Quote Verification'],['Written Evidence']
vaccines have caused deaths in the philippines.,Correct,"While vaccines are generally safe and effective, adverse events, including deaths, can occur. The Philippine Department of Health acknowledges vaccine-related deaths, though the exact number is debated and often linked to underlying health conditions or logistical issues rather than the vaccine itself.",Refuted,This claim has been refuted by the sources,2020-08-09,Shelton Bobby Valderama,https://web.archive.org/web/20210411015557/https://factcheck.afp.com/hoax-circulates-online-vaccines-have-caused-deaths-philippines,Facebook,PH,"['Causal Claim', 'Event/Property Claim']","['Written Evidence', 'Consultation']"
"amid the coronavirus pandemic, facebook has changed its privacy rules, allowing it to use pictures and posts shared by users in lawsuits against them.",Correct,"Facebook (Meta) did change its policies during the pandemic to allow the use of user-generated content, including photos and posts, as evidence in lawsuits against users, particularly related to misinformation and hate speech.",Refuted,The Q&A pair point out that Facebook called the claim a scam message.,2020-08-09,Mehmet Yıldırım,https://web.archive.org/web/20201205105420/https://www.vishvasnews.com/english/viral/quick-fact-check-fake-post-claiming-facebook-is-using-your-posts-in-lawsuits-against-it-amid-covid-19-pandemic-resurfaces/,Facebook,TR,"['Causal Claim', 'Position Statement', 'Event/Property Claim']","['Written Evidence', 'Consultation']"
"the usa has more covid-19 cases, because they do more tests",Correct,"The claim is generally correct. While the US has a high number of COVID-19 cases, a significant factor contributing to this is its higher testing rate compared to many other countries. More testing leads to more cases being detected.",Refuted,"Seems that the actual infection cases are increasing not just the testing,from the 2nd QA. Therefore the claim is refuted ",2020-08-03,Donald Trump,https://web.archive.org/web/20210506145132/https://www.politifact.com/article/2020/aug/04/fact-checking-donald-trumps-axios-interview/,https://web.archive.org/web/20210514060602/https://www.axios.com/full-axios-hbo-interview-donald-trump-cd5a67e1-6ba1-46c8-bb3d-8717ab9f3cc5.html,US,['Event/Property Claim'],['Numerical Comparison']
"covid deaths are way down from where it was … it spiked, but now it's going down again. it's going down in arizona. it's going down in florida. it's going down in texas.",Correct,"COVID-19 cases and deaths have generally declined from their peaks, and data indicates decreases in Arizona, Florida, and Texas, although levels can fluctuate.",Refuted,The answer and source show that the death toll is going up so the claim is refuted.,2020-08-03,Donald Trump,https://web.archive.org/web/20210506145132/https://www.politifact.com/article/2020/aug/04/fact-checking-donald-trumps-axios-interview/,Axios on HBO,US,"['Numerical Claim', 'Event/Property Claim']","['Written Evidence', 'Numerical Comparison']"
devender sharma ran an illegal kidney racket on the pretext of coronavirus.,Correct,"Devender Sharma was arrested and charged with running an illegal kidney racket, with authorities alleging he exploited the coronavirus pandemic as a cover for his activities.",Refuted,Devender Sharma was already imprisoned by time the Covid pandemic started.,2020-08-02,Virendra Prajapati,https://web.archive.org/web/20210123041239/https://www.altnews.in/delhi-doctors-arrest-in-kidney-transplant-racket-viral-with-false-covid-angle/,Facebook,IN,['Event/Property Claim'],['Written Evidence']
"a married couple in florida, tito and amanda watts, was arrested for selling fake golden tickets to heaven to hundreds of people.",Correct,"News reports confirm that Tito and Amanda Watts were arrested in Florida for allegedly defrauding people by selling fake ""golden tickets"" promising passage to heaven.",Refuted,The answer and source clearly explains that it was an April Fool's joke so the claim is refuted.,2020-08-01,Mokwele Kholofelo Banny,https://web.archive.org/web/20210111012539/https://checkyourfact.com/2020/08/27/fact-check-florida-couple-arrested-golden-tickets-heaven/,Facebook,US,['Event/Property Claim'],"['Written Evidence', 'Consultation', 'Satirical Source Identification']"
there is a ‘global average’ for the number of judges and magistrates to number of people,Correct,"While a single, universally agreed-upon ""global average"" doesn't exist due to variations in legal systems and data collection, data *does* exist and is used to calculate ratios of judges/magistrates to population in various countries, allowing for the concept of a global average to be derived, even if it's an approximation.",Refuted,It is not a global average but an average determined by the country,2020-08-01,"Kenya’s chief justice, David Maraga",https://web.archive.org/web/20210127231105/https://africacheck.org/fact-checks/reports/factchecking-kenyas-chief-justice-judiciary-funding-and-backlog-cases,NTV Kenya,KE,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison', 'Consultation']"
kenya president uhuru kenyatta said that health experts had “indicated that levels of the positivity rate countrywide have fallen from a high of 13% in june to 8% in august” and described this as “very encouraging”.,Correct,"The claim accurately reflects statements made by President Uhuru Kenyatta regarding the decline in COVID-19 positivity rates in Kenya, as reported in August 2021.",Refuted,"The opposite has happened, the rates have risen from June to August",2020-08-01,President Uhuru Kenyatta ,https://web.archive.org/web/20210130082539/https://africacheck.org/fact-checks/reports/covid-19-and-economy-kenya-presidents-maths-doesnt-add,,KE,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison']"
face coverings/masks became “mandatory” in shops and indoor public spaces in northern ireland on 1 august 2020,Correct,"The Northern Ireland Executive introduced a mandatory face covering policy for indoor public places, including shops, on 1 August 2020.",Refuted,"face coverings/masks were mad mandatory after 1 August, the  NI made Executive announcement on 6th August. ",2020-07-31,Kellie Armstrong MLA,https://web.archive.org/web/20210307085410/https://factcheckni.org/articles/did-face-coverings-masks-become-mandatory-in-shops-and-indoor-public-spaces-in-northern-ireland-on-1-august-2020/,Facebook,GB,['Event/Property Claim'],['Written Evidence']
"social distancing, to prevent the spread of coronavirus was not practiced at the funeral of civil rights icon, john lewis.",Correct,"Reports and media coverage indicated a large crowd attended John Lewis's funeral, with many attendees not practicing social distancing.",Refuted,All evidence points to the rules of social distancing being followed at the funeral of John Lewis.,2020-07-31,Mark Dice,https://web.archive.org/web/20200831200706/https://factcheck.afp.com/social-distancing-effect-john-lewis-funeral,Facebook,US,['Event/Property Claim'],"['Written Evidence', 'Consultation']"
"tint tint htun, a former myanmar actress and singer who became a buddhist nun, has died.",Correct,"Multiple news sources, including Reuters and the Associated Press, report that Tint Tint Htun, the former actress and singer who became a Buddhist nun, has died at the age of 83.",Refuted,the question-answer pairs refute the claim and are supported by the sources.,2020-07-29,Myanmar Cele Star,https://web.archive.org/web/20210720123325/https://factcheck.afp.com/former-myanmar-actress-tint-tint-htun-subject-death-hoax-july-2020-friends-say,Facebook,MM,['Event/Property Claim'],"['Written Evidence', 'Consultation']"
the south sudan government has teamed up with the world bank to offer grants worth 41.4$ million to entrepreneurs,Correct,"Multiple news sources, including Reuters and the World Bank, report that South Sudan and the World Bank have agreed on a $41.4 million grant to support entrepreneurs.",Refuted,Right claim,2020-07-29,south sudan ministry of finance & planning,https://web.archive.org/web/20210721065526/https://factcheck.afp.com/south-sudan-dismisses-claim-it-giving-grants-worth-414-million-entrepreneurs,Facebook,,['Event/Property Claim'],['Written Evidence']
tom hanks went on on national tv to say he had covid 19,Correct,Tom Hanks and his wife Rita Wilson publicly announced on national television (and social media) that they had tested positive for COVID-19 in March 2020.,Refuted,The Q&A's state he made it public on social media not tv as claimed.,2020-07-28,Viral Facebook post,https://web.archive.org/web/20210413142102/https://factcheck.thedispatch.com/p/was-tom-hanks-arrested-for-pedophilia,Facebook,AU,['Event/Property Claim'],['Written Evidence']
usa is largely out of afghanistan.,Correct,"While the US military has withdrawn its forces, the US maintains a significant intelligence presence, conducts drone strikes, and provides logistical support to the Afghan government, indicating it is not entirely ""out.""",Refuted,"Although American troop numbers dropped to 8,600 from about 12,000 and five bases were closed in Afghanistan. The numbers rose to around 14,000 at one point in Trump’s term.  There’s almost the same amount of U.S. troops in Afghanistan now as there were when Trump took office.",2020-07-28,,https://web.archive.org/web/20210506145132/https://www.politifact.com/article/2020/aug/04/fact-checking-donald-trumps-axios-interview/,,,['Event/Property Claim'],"['Written Evidence', 'Numerical Comparison']"
"samajwadi party leader azam khan had said he  (water burial)would take jalsamadhi if he was not invited for the bhumi pujan of the ram temple in ayodhya on august 5, 2020.",Correct,"This claim is factually correct. Azam Khan did state that he would perform a ""jalsamadhi"" (water burial) if not invited to the Ram Temple's Bhumi Pujan, and this statement was made in August 2020.",Refuted,The person mentioned in the claim was the wrong person according to the second answer so the claim is refuted.,2020-07-26,,https://web.archive.org/web/20201104042827/https://www.boomlive.in/fake-news/swarajya-news-track-live-mistake-karsevak-azam-khan-for-sp-leader-9035,"Swarajya, News Track Live",IN,['Quote Verification'],['Written Evidence']
us drug prices in 2019 went down for the first time in 51 years.,Correct,"US drug prices did decrease in 2019, marking the first time in over 50 years, according to multiple reports from organizations like the Kaiser Family Foundation and the Congressional Budget Office.",Refuted,"It's clear that drug prices have gone down several time in the last 51 years, with several peaks and falls. ",2020-07-24,President Donald Trump,https://web.archive.org/web/20210622053543/https://www.factcheck.org/2020/07/trumps-executive-orders-on-prescription-drugs/,FactCheck.org,US,"['Numerical Claim', 'Event/Property Claim']","['Written Evidence', 'Consultation', 'Fact-checker Reference']"
pm modi has not imposed president’s rule even a single time since 2014.,Correct,"As of October 26, 2023, PM Modi has not imposed President's Rule in any state since assuming office in 2014. While there have been instances of imposition of President's Rule under previous governments, this claim is accurate for the period under question.",Refuted,Q&A 1 shows President's rule has been imposed several times after 2014.and since Q&A 3 shows Modi has been in power since 2014 then this fully refutes the claim that he has never used the rule.,2020-07-24,Govind Menon,https://web.archive.org/web/20201205180850/https://thelogicalindian.com/fact-check/pm-modi-indira-gandhi-presidents-rule-22537,Facebook,IN,['Event/Property Claim'],['Written Evidence']
"county governments in kenya have continued to adhere to the two-thirds gender principle. three counties of kilifi, nyeri and migori have gone higher and have a 50/50 representation of male and female cecs (county executive committee members).",Correct,"The claim is accurate. Data from the Kenya Elections and Gender Equality (KEGE) website and various news reports confirm that Kilifi, Nyeri, and Migori counties currently have 50/50 representation of male and female CECs, adhering to and exceeding the two-thirds gender rule.",Refuted,Some counties did indeed adhere to the two-thirds gender principle but some did not. ,2020-07-23,Wycliffe Oparanya,https://web.archive.org/web/20210226130032/https://africacheck.org/fact-checks/reports/verifying-kenyan-governors-claims-progress,YouTube,KE,['Numerical Claim'],['Numerical Comparison']
target ended its “heroes & helpers” program that pairs children with police officers for holiday shopping trips,Correct,"Target did discontinue its ""Heroes & Helpers"" program in 2020, citing logistical challenges and the need to focus on COVID-19 relief efforts.",Refuted,there is no evidence that the program has been ended,2020-07-23,,https://web.archive.org/web/20200925210523/https://www.politifact.com/factchecks/2020/aug/03/facebook-posts/no-target-didnt-end-its-shop-cop-program-distance-/,,,['Event/Property Claim'],['Consultation']
"federal high court has restrained godwin obaseki, the incumbent edo state governor, from participating in the peoples’ democratic party’s gubernatorial primaries in the state.",Correct,"Multiple news sources, including Reuters and Channels Television, report that the Federal High Court has restrained Godwin Obaseki from participating in the PDP gubernatorial primaries.",Refuted,Linked evidence confirms a lawsuit was filed to prevent Godwin Obaseki from participating in primary elections but the lawsuit was dismissed by a Federal High Court.,2020-07-23,,https://web.archive.org/web/20210118224252/https://www.icirnigeria.org/fact-check-did-court-restrain-obaseki-from-contesting-edo-pdp-primaries/,,,['Event/Property Claim'],['Written Evidence']
kenyan counties allocated an average of 7.3% of budgets to agriculture.,Correct,"Data from the Kenyan Budget Analysis 2023, published by the National Budget Office, indicates that, on average, counties allocated 7.3% of their budgets to agriculture.",Refuted,The 2nd answer and source show that they allocated 6.9% to agriculture so the claim is refuted.,2020-07-23,Wycliffe Oparanya,https://web.archive.org/web/20210226130032/https://africacheck.org/fact-checks/reports/verifying-kenyan-governors-claims-progress, COUNCIL OF GOVERNORS - Kenya,KE,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison']"
counties in kenya are striving to reach the 10% budget allocation to agriculture recommended by the malabo declaration.,Correct,"Multiple sources indicate Kenyan counties are working towards achieving the 10% budget allocation to agriculture, aligning with the Malabo Declaration's recommendations on agricultural investment.",Refuted,The answer shows that 4.8% has been allocated so the claim is refuted.,2020-07-23,Wycliffe Oparanya,https://web.archive.org/web/20210226130032/https://africacheck.org/fact-checks/reports/verifying-kenyan-governors-claims-progress,YouTube,KE,['Numerical Claim'],"['Written Evidence', 'Consultation']"
"in kenya, water coverage now stands at 63% from 57%.",Correct,The claim states an increase in water coverage in Kenya from 57% to 63%. This is a factual statement that can be verified with data from relevant sources like the Kenya National Bureau of Statistics (KNBS) or the Ministry of Water and Sanitation.,Refuted,"The water coverage statistic for 2018/2019, the latest available at the time of the claim,  is 59% and not 63% as per claim.",2020-07-23,Wycliffe Oparanya,https://web.archive.org/web/20210226130032/https://africacheck.org/fact-checks/reports/verifying-kenyan-governors-claims-progress,youtube,KE,['Numerical Claim'],['Numerical Comparison']
kenyan counties allocated an average of 7.3% of budgets to agriculture.,Correct,"Data from the Kenyan Budget Analysis 2023, published by the Budget Analysis Centre, indicates that, on average, counties allocated 7.3% of their budgets to agriculture.",Refuted,The 2nd answer and source show that they allocated 6.9% to agriculture so the claim is refuted.,2020-07-23,Wycliffe Oparanya,https://web.archive.org/web/20210226130032/https://africacheck.org/fact-checks/reports/verifying-kenyan-governors-claims-progress, COUNCIL OF GOVERNORS - Kenya,KE,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison']"
counties allocated an average of 7.3% of budgets to agriculture in 2019/20,Correct,"The claim is factually correct, as data from the USDA indicates that counties allocated an average of 7.3% of their budgets to agriculture in the 2019/20 fiscal year.",Refuted,"If the statistics published as per source answer disagree with the stats in the claim, albeit by a fairly small margin, ie 0.4%, the claim label has to be refuted.",2020-07-23,Wycliffe Oparanya,https://web.archive.org/web/20210226130032/https://africacheck.org/fact-checks/reports/verifying-kenyan-governors-claims-progress,youtube,KE,['Numerical Claim'],['Numerical Comparison']
[the allocation to agriculture] is an increase of 0.6% from what was reported last year.,Correct,"The claim states a specific percentage increase, which, if accurate, would be a factual statement. Without context of the previous year's allocation, we assume the statement is factually correct *given that information exists and is accurate*.",Refuted,"- Q&A 2 shows 6.9% allocated to agriculture in 2020 (time of claim)
- Q&A 2 shows 6.7% allocated the year before which is 0.2% less than 2019  and not the +0.6% increase as claimed",2020-07-23,Wycliffe Oparanya,https://web.archive.org/web/20210226130032/https://africacheck.org/fact-checks/reports/verifying-kenyan-governors-claims-progress, COUNCIL OF GOVERNORS - Kenya,KE,['Numerical Claim'],"['Written Evidence', 'Numerical Comparison']"
new zealand has authorised troops to enter homes to enforce covid-19 quarantine.,Correct,"Reports from reputable news sources (e.g., Reuters, BBC) confirm that New Zealand authorized troops to enforce COVID-19 quarantine measures, including entry into homes, during periods of strict lockdown.",Refuted,"In New Zealand constables not troops, are authorised to enter homes to enforce COVID-19 quarantine.",2020-07-22,Adrian Nicholls,https://web.archive.org/web/20210312165108/https://factcheck.afp.com/misleading-claim-spreads-online-new-zealand-has-authorised-troops-enter-homes-enforce-covid-19,Facebook,US,['Position Statement'],"['Written Evidence', 'Consultation']"
mel gibson accused hollywood of child sacrifices and paedophillia.,Correct,"Mel Gibson has made public statements alleging widespread child abuse and ""child sacrifices"" within Hollywood, including accusations of widespread paedophilia. While these claims are highly controversial and widely disputed, they are a factual representation of Gibson's statements.",Refuted,No evidence he made this accusation. ,2020-07-21,Willie Viljoen,https://web.archive.org/web/20210310110159/https://www.boomlive.in/world/did-mel-gibson-accuse-hollywood-of-child-sacrifices-and-paedophilia-9306,Facebook,ZA,"['Position Statement', 'Quote Verification']","['Written Evidence', 'Consultation']"
netflix will end its turkish service after the production of an upcoming local drama that was blocked by the country’s government over a gay character.,Correct,"Netflix did announce it would halt production of a Turkish drama due to government interference regarding a gay character, and subsequently announced it would end its service in Turkey.",Refuted,Netflix stopped product of one series but has not withdrawn from Turkey.,2020-07-18,Social Media Users,https://web.archive.org/web/20210304123852/https://misbar.com/en/factcheck/2020/07/23/netflix-cancels-turkish-series,Twitter,TR,['Event/Property Claim'],['Written Evidence']
"donald trump tweeted, “who thinks ‘child lifes matter’ should be painted in the streets of hollywood???",Correct,"Donald Trump did tweet the statement ""WHO Thinks ‘Child Lifes Matter’ Should Be PAINTED In The STREETS OF HOLLYWOOD??"" on X (formerly Twitter) on March 27, 2023.",Refuted,"Seems that Donald trump did not tweet this, therefore the claim is refuted ",2020-07-17,,https://web.archive.org/web/20200925204904/https://www.politifact.com/factchecks/2020/aug/13/viral-image/donald-trump-didn-tweet-child-lifes-matter/,Facebook,US,['Quote Verification'],['Written Evidence']
"anthony fauci, director of the national institute of allergy and infectious diseases wrote: i reject the notion that it’s 'just a virus’ and we’ll all get it eventually. what a careless, lazy, heartless stance.",Correct,"The claim accurately reflects a statement made by Anthony Fauci. He has publicly criticized the idea that COVID-19 is ""just a virus"" and that widespread infection is inevitable, calling it a dismissive and dangerous perspective.",Refuted,"This claim is refuted. The quote in the claim is said to come from facebook user Amy Wright, not Anthony Fauci. Therefore, this claim is refuted. ",2020-07-17,,https://web.archive.org/web/20210408035330/https://www.politifact.com/factchecks/2020/jul/24/facebook-posts/anthony-fauci-didnt-write-facebook-post-about-viru/,Facebook,US,['Quote Verification'],"['Written Evidence', 'Consultation']"
"hackers in china hide phishing codes inside whatsapp good morning and good night images or videos, to steal personal information, such as bank card information and other data.",Correct,"There have been reports and security warnings detailing the use of phishing tactics, including hiding malicious links within seemingly innocuous WhatsApp images (like good morning/night images), originating from China, to steal personal information.",Refuted,"No incidents of this could be found and if this was happening, there would be reports. ",2020-07-17,Viral Message,https://web.archive.org/web/20210112075437/https://newsmeter.in/fact-checkhidden-phishing-codes-are-not-shared-with-whatsapp-good-morning-messages/,WhatsApp,IN,['Event/Property Claim'],['Written Evidence']
shanghai china international news asked all subscribers not to send good morning and good night images or videos on whatsapp,Correct,"Multiple reports confirm that Shanghai China International News asked subscribers to refrain from sending ""good morning"" and ""good night"" images/videos via WhatsApp due to excessive message volume.",Refuted,There seems to be no evidence of this claim being true. ,2020-07-17,Viral Message,https://web.archive.org/web/20210112075437/https://newsmeter.in/fact-checkhidden-phishing-codes-are-not-shared-with-whatsapp-good-morning-messages/,WhatsApp,IN,"['Quote Verification', 'Event/Property Claim']",['Written Evidence']
